lsoa_int_zone_id,msoa_zone_id,lsoa_int_to_msoa,msoa_to_lsoa_int
E01009730,E02002027,1,0.297807663
E01009723,E02002027,1,0.204414764
E01009720,E02002027,1,0.235597272
E01032363,E02006752,1,0.194940791
E01032362,E02006752,1,0.427239685
E01032364,E02006752,1,0.209106236
E01032366,E02006752,1,0.168713288
E01032379,E02006763,1,0.375016726
E01032380,E02006763,1,0.079233152
E01032344,E02006763,1,0.424152984
E01032342,E02006763,1,0.121597138
E01009999,E02002075,1,0.24552256
E01009931,E02002075,1,0.293218174
E01009929,E02002075,1,0.182958719
E01009932,E02002075,1,0.15829874
E01009930,E02002075,1,0.120001806
E01032287,E02006745,1,0.063959783
E01032290,E02006745,1,0.144554758
E01032289,E02006745,1,0.240410071
E01032286,E02006745,1,0.239108089
E01032288,E02006745,1,0.311967299
E01008960,E02001942,1,0.203430067
E01008959,E02001942,1,0.323420883
E01008962,E02001942,1,0.236822748
E01008961,E02001942,1,0.236326303
E01032191,E02006717,1,0.585162135
E01032211,E02006717,1,0.373462406
E01032192,E02006717,1,0.041375459
E01010003,E02002072,1,0.218755048
E01010002,E02002072,1,0.211293318
E01010006,E02002072,1,0.187700881
E01010005,E02002072,1,0.14342879
E01010000,E02002072,1,0.238821963
E01032409,E02006759,1,0.390963599
E01032408,E02006759,1,0.052211952
E01032407,E02006759,1,0.295616472
E01032406,E02006759,1,0.039806936
E01032405,E02006759,1,0.22140104
E01009889,E02002014,1,0.4046488
E01009888,E02002014,1,0.168592983
E01009887,E02002014,1,0.225639251
E01009890,E02002014,1,0.201118966
E01009894,E02002009,1,0.265167367
